K=30000,K=35000,K=25000
2000,2000,2000
2586.1,2586.1,2571
3478.7,3478.9,3441.3
6266.3,6267,6166.9
7845.2,7847.8,7622
9519.4,9528.6,9098.6
11079,11102,10389
12991,13043,11936
14531,14631,13049
15282,15462,13327
15403,15696,13054
15355,15739,12737
15280,15772,12461
14763,15348,11887
13934,14612,11099
13649,14417,10865
13366,14211,10656
13134,14052,10486
965.24,1115.4,781.67
932.76,1133.8,743.14
1382.1,1741.3,1088.3
1451.1,1894,1127.4
1579.7,2131.5,1208.2
1808,2480.1,1367.7
2197.9,3017.2,1654.8
2709.1,3702.1,2033.3
3354.7,4545.3,2513.4
4204.6,5630.7,3149
5229.9,6901.1,3921.5
6457.6,8361.7,4854.6
7868.1,9939.1,5950.5
9459.6,11615,7210.6
11089,13208,8533.1
12291,14177,9561.3
13929,15620,10943
2571.3,2436.2,2134.2
3102.4,2928.5,2571.2
5365.8,5054.2,4440.5
6580.9,6202.4,5433.8
7889.7,7482,6496.6
9793.4,9363.9,8048.5
11939,11527,9798.1
13985,13666,11463
16084,15921,13134
17550,17654,14290
18985,19325,15418
20302,20937,16453
19848,20754,16062
19325,20489,15593
18559,19855,14965
17612,18990,14188
16979,18445,13652
16236,17756,13024
1105,1316.6,851.17
1091.6,1391.9,808.5
1593.2,2143.9,1139.6
1661,2362.9,1139
1942.4,2876.5,1290
2471.7,3703.5,1616.1
3033.5,4535.8,1965.9
3765.4,5570.2,2439.1
4646.7,6750,3022.3
5541.2,7854.3,3631.7
6594,9073,4369.6
7670.9,10185,5167.1
8671.7,11057,5966
9617.4,11783,6775.3
10105,11895,7305.1
10863,12357,8042.6
11394,12560,8636.6
1207,987.52,1107.5
1283.1,988.09,1206.4
1985.5,1455.7,1900
2161.3,1512.8,2098.8
2500,1725.6,2442.2
2960.9,2045.9,2889.3
3489.7,2431,3387.8
4214.7,2960.4,4058.7
5069.9,3611.5,4828.8
5942.2,4310.7,5590
7146.8,5297.1,6630.1
