crop0.1,wd0.1,crop0.3,wd0.3,crop0.5,wd0.5
2000,1000,2000,1000,2000,1000
2591.3,1838.9,2586.1,1838.9,2580.8,1838.9
3496.3,2581.6,3478.9,2579.4,3461.5,2577.3
6318.2,3646.2,6267,3638.5,6216.2,3630.8
7961,5830.7,7847.8,5807.9,7736,5785.2
9763,6754.7,9528.6,6712.5,9299.3,6670.3
11504,8401.7,11102,8331.3,10714,8260.7
13690,10104,13043,10015,12425,9924.2
15588,11483,14631,11415,13729,11337
16782,12068,15462,12121,14233,12141
17335,9336.7,15696,9496.4,14174,9601.3
17456,8945.4,15739,9195.9,14115,9360.7
17518,9555.3,15772,9885.8,14084,10109
17085,9350.7,15348,9846.4,13644,10221
16276,9099.2,14612,9752.4,12941,10283
16076,9681.2,14417,10349,12715,10911
15884,10302,14211,10991,12471,11586
15762,9677.3,14052,10528,12256,11298
1276.2,9836.9,1115.4,10716,912.44,11535
1357.5,6424.8,1133.8,6961.3,869.69,7469.4
2140.1,5072.1,1741.3,5411.3,1282.1,5730.8
2386.7,4801.7,1894,4977,1338,5126.2
2746.2,3339.1,2131.5,3202.1,1452.8,3034.1
3226.4,3264.8,2480.1,2864.1,1660.7,2406.9
3931.4,3939.2,3017.2,3281.3,2013.9,2523.1
4820.2,5020.9,3702.1,4110.5,2474.9,3034.8
5911.7,6175.7,4545.3,5067,3051.9,3707.1
7307.9,5987,5630.7,4968.4,3807.6,3636.3
8902,7078.6,6901.1,5957.5,4720.6,4406
10694,8874.2,8361.7,7616,5809.4,5750.1
12562,9957.3,9939.1,8869.1,7055.2,6974.9
14474,11220,11615,10378,8455.4,8531.5
16217,12509,13208,11995,9879.2,10323
17148,12726,14177,12800,10910,11658
18637,13024,15620,13580,12322,12987
2614.8,12612,2436.2,13715,2244.4,13835
3227.5,8175.7,2928.5,9039.6,2646.8,9399.4
5632.5,6631,5054.2,7331.5,4532.1,7765.6
6964.1,6750.8,6202.4,7292.2,5530.8,7709.1
8473.8,5311.6,7482,5417.1,6625.4,5594.2
10626,6061.9,9363.9,5861.1,8279.1,5813.9
13074,7946.8,11527,7544.7,10193,7302
15492,10391,13666,9906.3,12086,9532.5
18065,12116,15921,11842,14061,11557
20048,7866.9,17654,8349.4,15554,8615.2
21637,8361.7,19325,8951.9,17171,9311.2
23104,7625.3,20937,8573.9,18781,9281.9
22539,8139.7,20754,9160.5,18819,10012
21999,7617.5,20489,8752.1,18720,9808.2
21155,7204.2,19855,8314.5,18228,9451.5
20112,7884.4,18990,8870.2,17502,9946.9
19507,7513.6,18445,8482.6,17016,9598.5
18756,8109.4,17756,8992,16398,10045
1442.2,4869.3,1316.6,5406.8,1188.1,6098.4
1569.4,3949.5,1391.9,4282.4,1214.7,4745.1
2467.6,3761,2143.9,3963.1,1826.7,4284.5
2780,2600.4,2362.9,2569.6,1960.7,2604.5
3426.8,2837.3,2876.5,2584.1,2344.8,2371.9
4427.3,3595.3,3703.5,3159.7,3001.9,2745.7
5430.4,4778,4535.8,4161.4,3671.3,3546.1
6671.9,6429.7,5570.2,5610,4512.3,4764.2
8089.2,6493.5,6750,5736.9,5478.4,4909
9392.9,7372.5,7854.3,6625.7,6403.9,5752.6
10819,9344.4,9073,8504.7,7440.1,7477.5
12119,10734,10185,9985.5,8401.7,8970.8
13129,11336,11057,10876,9177.8,10059
13954,11764,11783,11620,9833.8,11048
14041,11545,11895,11802,9972.6,11577
14544,12002,12357,12474,10387,12468
14737,11840,12560,12610,10572,12904
1105.7,7112.8,987.52,7985.7,834.92,8583.2
1136.7,5307.9,988.09,6073.9,804.96,6646.3
1707.7,4654.9,1455.7,5339.7,1150.9,5865.8
1817.9,2706.9,1512.8,3025.3,1151.6,3268.3
2121.9,2255.9,1725.6,2320.6,1270.6,2340.6
2549.9,2514.3,2045.9,2376.7,1476.3,2194.1
3060.6,3177.7,2431,2843.7,1728.2,2447.6
3744.2,4072.7,2960.4,3550.5,2089.4,2929.3
4580,4068.2,3611.5,3461.8,2542.4,2725.8
5464.6,5049.2,4310.7,4244.4,3042,3249.5
6705.7,6386.4,5297.1,5383.4,3757.2,4104.4
