init,5*init,0.2*init
2000,10000,400
2471.9,7007.1,501.8
3185.1,8687,656.44
5583.1,14741,1158.1
6789.1,16501,1462
8068.8,17800,1822.7
9297.4,18502,2232.9
10828,19498,2791.3
12189,19813,3427.2
13026,19091,4066.8
13521,17994,4748.3
13859,16999,5470.1
14147,16169,6291.6
14083,15105,7117.7
13750,14106,7893.1
13770,13965,8722
13755,13912,9505.8
13747,13936,10283
1219.5,1313.9,1635
1224,1346.1,1775.9
1856.3,2071.6,2836.5
1969.5,2226.4,3139
2146.3,2433.9,3454.7
2414.9,2732.6,3874
2835.5,3189.5,4495.4
3360.5,3754.6,5240.8
3962.6,4395.1,6054.8
4713.1,5187.6,7033.3
5571.7,6086.6,8116.8
6538.9,7086,9264.8
7680.8,8250.2,10536
8943.8,9515,11834
10239,10785,13062
11232,11708,13787
12601,13006,14914
2351.2,2287.3,2191.5
2738.5,2640.1,2518.6
4612,4422,4208.2
5495.3,5246.1,4984.9
6459,6151.6,5873
7856.3,7479.9,7197.9
9470.6,9029.2,8771.2
11131,10641,10433
12787,12274,12136
14261,13758,13704
15762,15278,15307
17320,16876,16980
17915,17561,17712
18381,18116,18288
18456,18247,18452
18220,18051,18257
18118,17980,18144
17794,17676,17773
1540.6,1541,1462.9
1614.5,1610.2,1522.9
2469.4,2457.1,2317.1
2659.1,2639.1,2482
3096.2,3066,2923.2
3806.7,3765.8,3614.2
4495.2,4446.4,4281.6
5326.5,5269.4,5087.8
6232.7,6168.5,5972.4
7045.8,6976.6,6774.3
7917.9,7846.7,7642.3
8792.1,8719.7,8521.5
9525.4,9454.1,9274
10187,10119,9963
10437,10375,10253
10940,10883,10791
11271,11221,11162
1107.7,1111.2,1137.7
1100.9,1105.5,1142.8
1617.5,1625.8,1693.9
1657.9,1668.1,1752.4
1826,1838.2,1940.3
2082.7,2097,2218.2
2381.7,2398.2,2538.9
2773,2792,2955.2
3237.9,3259.5,3446.2
3719.9,3744,3952.4
4381.5,4408.8,4645
