crop,weed,insect,straw,bird
3000,5000,0,0,0
3685.047184,6010.657332,0,0,28.18441407
4666.136699,7266.781588,113.3252573,0,23.89806392
8059.473704,8456.855228,232.6464853,0,23.23465385
9492.84538,10481.05156,336.4782365,0,26.73289579
10873.64458,12184.2847,463.3907169,0,30.36720858
11986.80364,13358.92968,645.3563681,0,34.55766822
13315.31605,14003.12428,807.8377523,0,39.68462501
14270.47583,14168.25432,1045.842764,0,44.93523347
14498.16089,13626.22194,1299.479957,0,51.34846179
14337.67859,13925.61928,1656.199964,0,59.11825334
13671.45902,12893.52257,1878.394434,0,69.26151242
13062.49401,12009.79087,2060.637141,0,81.46697429
12353.73707,10978.74007,2166.269355,0,90.64216665
11644.90891,10256.24092,2105.04823,0,101.0071873
11263.33336,10156.94633,1974.269181,0,113.8690547
11069.94697,10442.92281,1857.088665,0,126.8868665
11083.25723,10154.376,1687.598729,0,141.6883154
1171.016251,10528.85482,1580.7656,662.6541903,157.8210693
1157.697411,10577.45777,1464.319181,345.616919,172.7027814
1735.019084,10648.58196,1405.080752,60.63458358,190.3735397
1812.934589,10781.13965,931.5610973,0,208.1185987
1945.522982,11048.92574,825.2587727,0,225.5680614
2115.277196,11330.58729,764.5376784,0,245.1085516
2364.439425,11649.17574,747.227593,0,264.798808
2671.133475,11985.90853,730.988948,0,283.8702529
3013.400332,12204.71859,774.6799797,0,309.424256
3443.971852,12578.81712,838.3085986,0,338.6310651
3911.292101,12919.74121,908.8762255,0,367.1117121
4429.75272,13309.11908,958.0110864,0,396.3860516
5062.548019,13466.28197,983.3955744,0,430.4362032
5789.013325,13772.83254,1021.137997,0,464.0124258
6549.420184,14202.9885,1017.883617,0,502.4874555
7174.946608,14406.0491,1037.544244,0,539.1146748
8112.610229,14745.07473,1047.225575,0,579.0772992
1683.294871,14940.64388,1036.480286,521.9121789,622.2682926
1880.494443,15003.04221,1039.779616,316.354085,664.5420497
3063.170617,15034.6696,1062.482977,108.1790688,713.9492765
3537.842343,15076.69492,993.9715361,0,744.8124587
4062.325623,15170.73732,951.1767728,0,769.2000055
4812.832494,15298.50935,968.0070204,0,804.3299243
5644.392301,15469.31849,1017.614829,0,839.3027955
6511.79996,15788.55303,1063.182869,0,866.6385919
7433.209943,15870.95859,1130.887856,0,914.4051031
8343.795414,15407.46223,1259.279125,0,970.8026187
9217.321704,15122.21425,1423.995476,0,1030.632661
10205.78941,14115.34994,1502.079558,0,1084.049266
10848.40338,13596.13626,1558.93379,0,1132.052056
11599.22639,12800.41827,1557.058673,0,1171.304861
12029.67548,11835.45994,1533.105605,0,1218.251675
12319.5793,11584.68119,1545.57629,0,1264.19201
12789.09547,11011.79595,1499.556484,0,1313.781048
13203.54528,11163.97066,1488.34608,0,1357.698421
1865.508883,10719.3119,1440.088093,885.9586228,1415.470972
1973.25927,10871.44527,1374.040466,609.8280634,1470.607741
3037.780207,11011.54474,1391.261489,336.4585778,1513.949105
3253.794429,11083.62182,969.6244135,56.61813905,1407.886281
3584.606045,11413.1963,821.5163843,0,1298.485398
4122.910368,11671.19386,801.5322003,0,1265.807502
4542.899998,11956.67584,806.3482743,0,1225.659061
5038.081492,12436.09612,866.5846788,0,1203.046346
5540.573862,12847.30483,969.9248979,0,1190.892603
5880.312042,12885.59461,1029.485124,0,1200.182961
6248.632503,13274.57445,1118.148797,0,1218.54352
6614.534328,13399.08705,1120.662722,0,1241.097243
6912.82833,13243.07785,1104.730888,0,1258.53592
7186.532279,13121.53952,1128.446392,0,1275.405319
7219.866626,12816.0385,1132.662658,0,1292.722647
7496.930698,12960.79926,1116.626418,0,1316.902685
7737.327887,12959.3408,1106.895631,0,1336.063691
849.1844028,12911.44353,1068.942967,481.4308236,1362.656392
731.612919,12870.12451,1107.24688,266.1614033,1384.354323
945.1128597,12840.58951,1097.673764,43.20934504,1398.125901
823.8755994,12808.3433,857.892334,0,1307.335893
740.9300205,12807.63233,748.9385326,0,1236.025837
659.1767206,12802.95024,735.2950814,0,1171.820079
565.5952643,12796.49873,726.4845431,0,1125.363981
470.131273,12776.67088,742.4222586,0,1087.656923
360.1845346,12752.39734,771.8431414,0,1047.028624
223.4491113,12719.89775,785.1301731,0,1016.734746
73.13700629,12664.87391,789.7731882,0,997.3427066
0,12592.31458,763.9585382,0,976.2829683
0,12511.67223,732.7634243,0,950.3242581
0,12434.04467,690.4593391,0,924.9010237
0,12360.30991,691.5022433,0,906.5040051
0,12286.85965,656.9444191,0,889.2071004
0,12216.51995,600.889186,0,867.9920743
0,12151.08897,575.2080957,0,856.4657037
0,12087.94301,575.8200284,0,848.2608343
0,12024.91219,577.2745496,0,830.0954195
0,11962.12832,565.4802115,0,815.4272805
0,11900.58136,552.8467531,0,816.0237996
0,11840.03314,587.8678647,0,802.994688
0,11776.94382,622.6077354,0,798.4889875
0,11711.16542,612.099914,0,791.4021635
0,11646.36939,659.2363076,0,777.5208373
0,11578.08006,712.4163032,0,768.1442573
0,11505.72387,724.4517608,0,764.9842873
0,11432.46805,681.559251,0,759.5459589
0,11362.75239,679.8379203,0,758.8013682
0,11293.18933,643.1357343,0,761.6713193
