0.2,wd,0.4,wd,0.6,wd
2000,1000,2000,1000,2000,1000
2586.1,1855.9,2586.1,1838.9,2586.1,1822
3478.7,2620.2,3478.9,2579.4,3479,2538.7
6266.3,3721.9,6267,3638.5,6267.7,3555.2
7845.2,6030,7847.8,5807.9,7850.5,5585.7
9519.4,7106.3,9528.6,6712.5,9537.8,6318.3
11079,8989.6,11102,8331.3,11126,7671.7
12991,11007,13043,10015,13094,9019.9
14531,12824,14631,11415,14731,9995.3
15282,14057,15462,12121,15643,10158
15403,11367,15696,9496.4,15994,7576.9
15355,11346,15739,9195.9,16133,6954.1
15280,12344,15772,9885.8,16283,7292.1
14763,12496,15348,9846.4,15964,7022.3
13934,12514,14612,9752.4,15334,6779.9
13649,13105,14417,10349,15245,7352.3
13366,13725,14211,10991,15129,7984.9
13134,13289,14052,10528,15057,7459.7
965.24,13442,1115.4,10716,1288.1,7651.4
932.76,8599.3,1133.8,6961.3,1367.6,5127.9
1382.1,6509.6,1741.3,5411.3,2160.6,4194.8
1451.1,5744.8,1894,4977,2410.2,4141.5
1579.7,3310.9,2131.5,3202.1,2780.3,3113.5
1808,2562.4,2480.1,2864.1,3262.9,3221.4
2197.9,2666.1,3017.2,3281.3,3955.3,3951.6
2709.1,3222.3,3702.1,4110.5,4813.4,5015.2
3354.7,3970.1,4545.3,5067,5843.3,6089.2
4204.6,3953.5,5630.7,4968.4,7137.4,5760.2
5229.9,4858.2,6901.1,5957.5,8603.5,6636.9
6457.6,6404.3,8361.7,7616,10217,8137.3
7868.1,7817.6,9939.1,8869.1,11854,8922.2
9459.6,9614.1,11615,10378,13500,9841.3
11089,11684,13208,11995,14974,10780
12291,13242,14177,12800,15695,10753
13929,14781,15620,13580,16976,10865
2571.3,15777,2436.2,13715,2365.2,10345
3102.4,10632,2928.5,9039.6,2855.6,6773.9
5365.8,8724.9,5054.2,7331.5,4937.7,5587.6
6580.9,8654.7,6202.4,7292.2,6081.2,5793.5
7889.7,6305.4,7482,5417.1,7408.5,4686.6
9793.4,6692.7,9363.9,5861.1,9347.7,5361.5
11939,8550.4,11527,7544.7,11577,6962
13985,11224,13666,9906.3,13812,9034.2
16084,13611,15921,11842,16170,10438
17550,10088,17654,8349.4,18063,6615.6
18985,11235,19325,8951.9,19888,6538
20302,11510,20937,8573.9,21709,5360.3
19848,12567,20754,9160.5,21718,5355.6
19325,12447,20489,8752.1,21664,4561.9
18559,12193,19855,8314.5,21171,3888.3
17612,12738,18990,8870.2,20416,4429.3
16979,12317,18445,8482.6,19996,4058.3
16236,12690,17756,8992,19406,4692.3
1105,7659.1,1316.6,5406.8,1592.4,2748.7
1091.6,5771.5,1391.9,4282.4,1786,2543.9
1593.2,5026,2143.9,3963.1,2868.3,2754.1
1661,2782.4,2362.9,2569.6,3279.6,2378.5
1942.4,2220.3,2876.5,2584.1,4083.8,3071.4
2471.7,2381.1,3703.5,3159.7,5250.2,4071
3033.5,3012.2,4535.8,4161.4,6367.4,5379.3
3765.4,4063.1,5570.2,5610,7691.6,7084.2
4646.7,4276.6,6750,5736.9,9108.3,6824
5541.2,5164.7,7854.3,6625.7,10304,7328.7
6594,6898.5,9073,8504.7,11536,8933.1
7670.9,8550.1,10185,9985.5,12524,9832.2
8671.7,9943.8,11057,10876,13132,9903.8
9617.4,11298,11783,11620,13575,9920.6
10105,12237,11895,11802,13328,9419.4
10863,13497,12357,12474,13560,9714.1
11394,14265,12560,12610,13541,9509.3
1207,9822.8,987.52,7985.7,888.61,5659.1
1283.1,7772.5,988.09,6073.9,856.54,4208.6
1985.5,7026.1,1455.7,5339.7,1221.1,3666.1
2161.3,4163.8,1512.8,3025.3,1229.2,2091.5
2500,3335.7,1725.6,2320.6,1420,1681.9
2960.9,3476.6,2045.9,2376.7,1704.8,1817
3489.7,4137.9,2431,2843.7,2049.9,2261
4214.7,5118,2960.4,3550.5,2513.7,2881.6
5069.9,4874.9,3611.5,3461.8,3089,2884.5
5942.2,5861.2,4310.7,4244.4,3716.1,3594.7
7146.8,7283.8,5297.1,5383.4,4605.9,4604.2
